word_1,word_2,simlex_999,word2vec_cbow,word2vec_skipgram,fasttext_cbow,fasttext_skipgram
old,new,1.58,0.073203504,0.06493559,0.03785378,0.25906733
smart,intelligent,9.2,-0.0055841645,0.051899403,0.12007461,0.13840035
hard,difficult,8.77,0.08909997,0.12951653,0.1499079,0.109649636
happy,cheerful,9.55,0.33603984,0.2915857,0.18459636,0.32846424
hard,easy,0.95,0.033772755,0.07847604,0.101611674,0.25691405
fast,rapid,8.75,0.226142,0.26734215,-0.012861063,0.2225747
happy,glad,9.17,0.31847736,0.2643274,0.1038091,0.22410554
short,long,1.23,0.32223308,0.38980874,0.05747998,0.33394608
stupid,dumb,9.58,0,0,0.1347222,0.1572034
weird,strange,8.93,0.27755702,0.22244537,-0.047858022,0.30314776
wide,narrow,1.03,0.41684258,0.43295956,0.28383702,0.2331334
bad,awful,8.42,-0.10981768,-0.109791234,0.0187587,0.14980547
easy,difficult,0.58,0.24623333,0.27503037,0.06997652,0.099346094
bad,terrible,7.78,-0.17946349,-0.17979228,0.07533919,0.32305598
hard,simple,1.38,0.23984978,0.27092823,0.08328628,0.24199848
smart,dumb,0.55,0,0,-0.010878646,0.17631358
insane,crazy,9.57,0,0,0.10652127,0.43364117
happy,mad,0.95,0.0061561204,-0.048254758,0.05239366,0.23743993
large,huge,9.47,0.3420773,0.30597547,0.43425214,0.2686869
hard,tough,8.05,0,0,0.098389834,0.26912516
new,fresh,6.83,-0.015213364,-0.022153866,0.010027745,0.20738713
sharp,dull,0.6,0.26770014,0.26864687,0.2107561,0.22848402
quick,rapid,9.7,0.08507276,0.13053326,0.07228943,0.3509492
dumb,foolish,6.67,0,0,-0.009862557,0.28308877
wonderful,terrific,8.63,0.02030919,0.0031325063,0.14850223,0.19207591
strange,odd,9.02,0.15426241,0.14338808,0.073937625,0.22634892
happy,angry,1.28,0.18523704,0.15745668,0.04260393,0.11635553
narrow,broad,1.18,0.49080396,0.4983815,0.39197227,0.28244692
simple,easy,9.4,0.30273202,0.44677,0.06865487,0.2515932
old,fresh,0.87,-0.17267212,-0.11172335,-0.08272908,0.009115231
apparent,obvious,8.47,0.13679405,0.16505595,-0.020462427,0.1794879
inexpensive,cheap,8.72,0,0,-0.15767169,0.41312304
nice,generous,5,0.11497508,-0.0666618,0.027312228,0.31255203
weird,normal,0.72,0,0,0.033203095,0.38638163
weird,odd,9.2,0.32085517,0.2888236,0.23662208,0.19905093
bad,immoral,7.62,0,0,0.043522332,0.2588913
sad,funny,0.95,0.37724403,0.35302424,0.20451003,0.2589704
wonderful,great,8.05,0.0758057,0.09609847,-0.00978729,0.3124756
guilty,ashamed,6.38,0.0884245,0.22245087,0.08304132,0.33861852
beautiful,wonderful,6.5,0.39961547,0.44446507,0.4264323,0.40520984
confident,sure,8.27,0.12058826,0.15406236,0.0053452644,0.26550975
dumb,dense,7.27,0,0,0.20525594,0.19882658
large,big,9.55,0.28443465,0.2600942,0.13502038,0.28840172
nice,cruel,0.67,0.20927458,0.18798219,0.019157048,0.32177767
impatient,anxious,6.03,0.30533016,0.3357965,0.19296636,0.17142692
big,broad,6.73,0.1484571,0.16152978,0.29048923,0.31180608
strong,proud,3.17,0.18978582,0.19379695,0.114704095,0.042094942
unnecessary,necessary,0.63,0.30877018,0.32585746,0.946988,0.7905787
restless,young,1.6,-0.17300814,-0.17757873,-0.022149205,-0.015667792
dumb,intelligent,0.75,0,0,-0.13553675,0.06472284
bad,great,0.35,-0.025100922,-0.018392738,-0.036921125,0.21411036
difficult,simple,0.87,0.30737916,0.32535055,0.09619381,0.27930436
necessary,important,7.37,0.17856885,0.21981335,0.12678635,0.2533794
bad,terrific,0.65,-0.19137897,-0.17334223,0.14412653,0.17626053
mad,glad,1.45,0.24078858,0.1669336,0.35062397,0.2005861
